EMPLOYER_ADDRESS_1,EMPLOYER_ADDRESS_2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,Address,geocoded
161 FIFTH AVE SOUTH,SUITE 100,TWIN FALLS ,ID,83301,161 FIFTH AVE SOUTH TWIN FALLS  ID 83301,"(42.552457, -114.4724399)"
721 W Clark St ,,Albert Lea ,MN,56007,721 W Clark St  Albert Lea  MN 56007,"(43.6492452, -93.37806359999999)"
75 Wilbourne Rd,,Vance,MS,38964,75 Wilbourne Rd Vance MS 38964,"(34.0705943, -90.35452049999999)"
1017 Greenfield Road,,Glen Allan,MS,38744,1017 Greenfield Road Glen Allan MS 38744,"(33.0037007, -91.03478960000001)"
N3139 Highview Road,,Cascade,WI,53011,N3139 Highview Road Cascade WI 53011,"(43.653671, -88.0389833)"
3501 NE Washington St,,Arcadia,FL,34266,3501 NE Washington St Arcadia FL 34266,"(27.250274, -81.817136)"
562 Coy Cox Rd.,,Omega,GA,31775,562 Coy Cox Rd. Omega GA 31775,"(31.326128, -83.58574399999999)"
223 Bokeelia Way,,Lake Placid,FL,33852,223 Bokeelia Way Lake Placid FL 33852,"(27.2484512, -81.3965367)"
20300 Spence Road ,,Salinas ,CA,93908,20300 Spence Road  Salinas  CA 93908,"(36.6240919, -121.5509029)"
611 N Graham Rd.,P.O. Box 865,Avon Park,FL,33825,611 N Graham Rd. Avon Park FL 33825,"(27.6038409, -81.5562576)"
890 Spratt Blvd.,,LaBelle,FL,33935,890 Spratt Blvd. LaBelle FL 33935,"(26.7486946, -81.43189009999999)"
4480 Smyrna Rd. ,,Whiteville,NC,28472,4480 Smyrna Rd.  Whiteville NC 28472,"(34.3742079, -78.7788332)"
1769 L'anse Meg Road,,Mamou,LA,70554,1769 L'anse Meg Road Mamou LA 70554,"(30.5672422, -92.4152762)"
137 S Pasco Ave.,"P.O. Box 83 Nocatee, FL. 34268",Arcadia,FL,34266,137 S Pasco Ave. Arcadia FL 34266,"(27.2105121, -81.85472879999999)"
440 W. Teft Street,P.O. Box 1402,Nipomo,CA,93444,440 W. Teft Street Nipomo CA 93444,"(35.0378356, -120.4834287)"
425 West Memorial Park Road,"PO Box 149, Henefer UT 84033 (Mailing Address)",Henefer,UT,84033,425 West Memorial Park Road Henefer UT 84033,"(41.0166228, -111.5047694)"
265 W 100 S,"PO BOX 6, Bicknell UT 84715 (Mailing Address)",Bicknell,UT,84715,265 W 100 S Bicknell UT 84715,"(38.3390472, -111.5468849)"
51051 US Highway 20 ,,Oberlin ,OH,44074,51051 US Highway 20  Oberlin  OH 44074,"(41.2570368, -82.311595)"
3288 NE Turner Ave.,,Arcadia,FL,34266,3288 NE Turner Ave. Arcadia FL 34266,"(27.2426342, -81.8400463)"
546 St Margaret Road,,Church Point,LA,70525,546 St Margaret Road Church Point LA 70525,"(30.436144, -92.24240669999999)"
13350 Bonita Beach Road S.E.,,Bonita Springs,FL,34135,13350 Bonita Beach Road S.E. Bonita Springs FL 34135,"(26.3332375, -81.73173589999999)"
23231 N River Rd ,,Alva,FL,33920,23231 N River Rd  Alva FL 33920,"(26.7267451, -81.5781293)"
2184 68th Ave NW,,Raub,ND,58779,2184 68th Ave NW Raub ND 58779,"(47.7246763, -102.0433716)"
1764 East 1200 North,"1764 East 1200 North, Terreton ID 83450 (Mailing Address)",Terreton,ID,83450,1764 East 1200 North Terreton ID 83450,"(43.7980063, -112.3775957)"
44115 Big Creek Rd,"44115 Big Creek Rd, Winnemucca NV 89445 (Mailing Address)",Winnemucca,NV,89445,44115 Big Creek Rd Winnemucca NV 89445,"(41.6417935, -118.5861364)"
17205 203th Street E,,Hastings,MN,55033,17205 203th Street E Hastings MN 55033,"(44.65361799999999, -92.7572715)"
5460 Highway 95,,Chataignier,LA,70524,5460 Highway 95 Chataignier LA 70524,"(30.5685318, -92.32207319999999)"
157 Kidder St  #C,P.O.Box 625,Soledad,CA,93960,157 Kidder St  #C Soledad CA 93960,"(36.4264143, -121.3267082)"
319 S Dumas Ave,,Dumas,TX,79029,319 S Dumas Ave Dumas TX 79029,"(35.8623304, -101.9730032)"
3047 NE Beechwood Cir,,LaBelle,FL,33935,3047 NE Beechwood Cir LaBelle FL 33935,"(26.7373666, -81.4077988)"
4008 Toronto Ave.,,McAllen,TX,78503,4008 Toronto Ave. McAllen TX 78503,"(26.1906708, -98.26853899999999)"
664 Stanley Road,,McMinnville,TN,37110,664 Stanley Road McMinnville TN 37110,"(35.8102041, -85.83428599999999)"
959 Loss Crouch Road,,Morrison,TN,37357,959 Loss Crouch Road Morrison TN 37357,"(35.6611208, -85.8466041)"
6797 Leesville Rd. ,,Lynch Station,VA,24571,6797 Leesville Rd.  Lynch Station VA 24571,"(37.179688, -79.3205456)"
1554 US Hwy 81,,Minneapolis,KS,67467,1554 US Hwy 81 Minneapolis KS 67467,"(39.1819619, -97.66434840000001)"
Route 2 Box 224D,,Mountain Grove,MO,65711,Route 2 Box 224D Mountain Grove MO 65711,"(37.1306078, -92.2634942)"
2781 FM 1588,,Eagle Pass,TX,78852,2781 FM 1588 Eagle Pass TX 78852,"(28.7858012, -100.4723688)"
102 McLeod St,,Yerington,NV,89447,102 McLeod St Yerington NV 89447,"(39.0009721, -119.1802192)"
4567 E Hwy 70,P.O. Box 1917,Arcadia,FL,34266,4567 E Hwy 70 Arcadia FL 34266,"(27.2088164, -81.7991416)"
365 Victor Street,Suite P,Salinas,CA,93907,365 Victor Street Salinas CA 93907,"(36.685484, -121.6689029)"
420 Espinosa Road,"Mailing:  3742 Blue Bird Canyon Rd.,  Vista,  CA 92084",Salinas,CA,93907,420 Espinosa Road Salinas CA 93907,"(36.734992, -121.676205)"
22601 Jerry Road,,Kaplan,LA,70548,22601 Jerry Road Kaplan LA 70548,"(29.9404891, -92.34931399999999)"
171 Tangerine Street,,LaBelle,FL,33935,171 Tangerine Street LaBelle FL 33935,"(26.7409172, -81.44036679999999)"
940 Rusty Circle,"P O. Box 1192, Kamas UT 84036 (Mailing Address)",Kamas,UT,84036,940 Rusty Circle Kamas UT 84036,"(40.6286684, -111.3113781)"
509 Walnut St,,Sumner,MS,38957,509 Walnut St Sumner MS 38957,"(33.97203330000001, -90.3687295)"
10279 MANCHESTER HWY,,MORRISON,TN,37357,10279 MANCHESTER HWY MORRISON TN 37357,"(35.5981949, -85.91635910000001)"
3071 Road 67,"3071 Road 67, Harrisburg NE 69345 (Mailing Address)",Harrisburg,NE,69345,3071 Road 67 Harrisburg NE 69345,"(41.60552300000001, -103.416541)"
P O Box 304,4304 Hwy 1 South,Marianna,AR,72360,P O Box 304 Marianna AR 72360,"(34.7746203, -90.7722536)"
3940 Hardt Road,,Eden,NY,14057,3940 Hardt Road Eden NY 14057,"(42.6672372, -78.8397021)"
1628 Bieber Road,,Mamou,LA,70554,1628 Bieber Road Mamou LA 70554,"(30.641033, -92.43583199999999)"
401 Oklahoma Ave,"Rural Route 1, Box 8 Knowles OK  73844",Knowles,OK,73844,401 Oklahoma Ave Knowles OK 73844,"(36.87217860000001, -100.191004)"
330721 Country Road E,,Minatare,NE,69356,330721 Country Road E Minatare NE 69356,"(41.9444169, -103.4275619)"
2939 State Hwy 52 (physical),"P.O. Box 201, Cedar Rapids, NE 68627",Primrose,NE,68655,2939 State Hwy 52 (physical) Primrose NE 68655,"(41.63292999999999, -98.253804)"
1075 SE Baker St.,P.O. Box 2708,Arcadia,FL,34266,1075 SE Baker St. Arcadia FL 34266,"(27.2089146, -81.85815540000002)"
806 Highway 90 West,,Jennings,LA,70546,806 Highway 90 West Jennings LA 70546,"(30.3152312, -89.34992729999999)"
508 North 3470 East,"PO Box 69, Lewisville ID 83431 (Mailing Address)",Lewisville,ID,83431,508 North 3470 East Lewisville ID 83431,"(43.7060934, -112.0061153)"
2424 East 2200 North,"2424 East 2200 North, Hamer ID 83425 (Mailing Address)",Hamer,ID,83425,2424 East 2200 North Hamer ID 83425,"(43.9407282, -112.2127587)"
61855 Smoke Creek Road,"PO Box 150, Gerlach NV 89412 (Mailing Address)",Gerlach,NV,89412,61855 Smoke Creek Road Gerlach NV 89412,"(40.7300998, -119.5230048)"
1215 Nance Street,,Newberry,SC,29108,1215 Nance Street Newberry SC 29108,"(34.274392, -81.6214534)"
15125 McCoy Rd,859 Washington St. # 259,Red Bluff,CA,96080,15125 McCoy Rd Red Bluff CA 96080,"(40.2328499, -122.3018743)"
8800 St Cloud Lane,"PO Box 21191, Bakersfield CA 93390 (Mailing Address)",Bakersfield,CA,93311,8800 St Cloud Lane Bakersfield CA 93311,"(35.3355533, -119.1001557)"
"189, Road 400 ",,Somerset County,ME,0,"189, Road 400  Somerset County ME 0","(46.3270148, -70.0672741)"
1110 W. Bell Street,,Avon Park,FL,33826,1110 W. Bell Street Avon Park FL 33826,"(27.5912968, -81.5159035)"
146 Road 140,,Satanta,KS,67870,146 Road 140 Satanta KS 67870,"(37.5484744, -101.0757283)"
65741 N 2370 Rd,,Canton,OK,73724,65741 N 2370 Rd Canton OK 73724,"(36.066895, -98.783022)"
2089 County Road 1470,,Bogata,TX,75417,2089 County Road 1470 Bogata TX 75417,"(33.4074812, -95.1825647)"
244 Old Dairy Rd,,Opelousas,LA,70570,244 Old Dairy Rd Opelousas LA 70570,"(30.5335302, -92.081509)"
25201 S Louisiana Hwy 82,,Kaplan,LA,70548,25201 S Louisiana Hwy 82 Kaplan LA 70548,"(29.78630279999999, -92.3405769)"
30010 Bornsdall Road,,Elton,LA,70532,30010 Bornsdall Road Elton LA 70532,"(30.4676999, -92.6543714)"
3408 Lanse Meg Rd,,Mamou,LA,70554,3408 Lanse Meg Rd Mamou LA 70554,"(30.568898, -92.419366)"
185 US Highway 27 S,PO Box 117,South Bay,FL,33493,185 US Highway 27 S South Bay FL 33493,"(26.6655273, -80.7171754)"
4835 Cadaretta Rd,,Gore Springs ,MS,38929,4835 Cadaretta Rd Gore Springs  MS 38929,"(33.7102926, -89.4683132)"
1215 Poblano Ln,,Edinburg,TX,78539,1215 Poblano Ln Edinburg TX 78539,"(26.2790659, -98.17925029999999)"
74 Magness Road,,McMinnville,TN,37110,74 Magness Road McMinnville TN 37110,"(35.8222943, -85.8130623)"
947 Walnut Hill Road,,Belvidere,TN,37306,947 Walnut Hill Road Belvidere TN 37306,"(35.1005759, -86.2005779)"
201 Fillmore Ave,,Lake Placid,FL,33852,201 Fillmore Ave Lake Placid FL 33852,"(27.2556687, -81.3916413)"
561 S Road,,Mack,CO,81525,561 S Road Mack CO 81525,"(39.2820401, -108.9460691)"
262 Peach Tree Lane,,Smithville,TN,37166,262 Peach Tree Lane Smithville TN 37166,"(35.8283031, -85.8465841)"
"510 Clinton Square, PMB 5010 ",,Rochester ,NY,14604,"510 Clinton Square, PMB 5010  Rochester  NY 14604","(43.15545609999999, -77.6062579)"
230 Cameron Avenue ,Po Box 399,Vass,NC,28394,230 Cameron Avenue  Vass NC 28394,"(35.259144, -79.27738099999999)"
60 W. Market Street,Suite 150,Salinas,CA,93901,60 W. Market Street Salinas CA 93901,"(36.6790974, -121.658003)"
14313 Walden Sheffield Rd ,,Dover,FL,33527,14313 Walden Sheffield Rd  Dover FL 33527,"(27.9812047, -82.2159215)"
111 5th Ave ,,Rochelle ,IL,61068,111 5th Ave  Rochelle  IL 61068,"(41.924425, -89.06013399999999)"
149 Lake Pearl Dr,PO Box 2422,Lake Placid,FL,33852,149 Lake Pearl Dr Lake Placid FL 33852,"(27.2868659, -81.36410959999999)"
15 NE 4th St.,P.O. Box 393,Fort Meade,FL,33841,15 NE 4th St. Fort Meade FL 33841,"(27.7470391, -81.8010213)"
17450 Avenue Los Altos,,Salinas,CA,93907,17450 Avenue Los Altos Salinas CA 93907,"(36.77907, -121.6652497)"
788 Sam Beasley Road,,Lyons,GA,30436,788 Sam Beasley Road Lyons GA 30436,"(32.0169705, -82.36656219999999)"
2714 Hwy 8 South,,Hermitage,AR,71647,2714 Hwy 8 South Hermitage AR 71647,"(33.3828544, -92.01318500000001)"
6980 SE CR 763,,Arcadia,FL,34266,6980 SE CR 763 Arcadia FL 34266,"(27.121871, -81.82668439999999)"
38755 US Hwy 75 NW ,,Stephen ,MN,56757,38755 US Hwy 75 NW  Stephen  MN 56757,"(48.4499791, -96.8725616)"
331 MS-8 ,,Ruleville,MS,38771,331 MS-8  Ruleville MS 38771,"(33.729779, -90.5741479)"
1775 12 Road,"1775 12 Road, Loma CO 81524 (Mailing Address)",Loma,CO,81524,1775 12 Road Loma CO 81524,"(39.2630193, -108.8314642)"
18358 County Hwy D-20,,Alden,IA,50006,18358 County Hwy D-20 Alden IA 50006,"(42.52025709999999, -93.3760389)"
"1188 Lawson Rd., Suite B",,Lyons,GA,30436,"1188 Lawson Rd., Suite B Lyons GA 30436","(32.090249, -82.33324999999999)"
6770 Berg Drive ,,Mount Dora,FL,32757,6770 Berg Drive  Mount Dora FL 32757,"(28.7463453, -81.6221727)"
"CA addr: 101 E. Main Street, Heber, CA 92249",AZ addr: 17815 South Highway 95,Somerton,AZ,85352,"CA addr: 101 E. Main Street, Heber, CA 92249 Somerton AZ 85352","(32.7303887, -115.5250385)"
7445 State Hwy 109,,Delta,OH,43515,7445 State Hwy 109 Delta OH 43515,"(41.5800439, -84.03803789999999)"
11483 SE Amity Dayton Hwy,,Dayton,OR,97114,11483 SE Amity Dayton Hwy Dayton OR 97114,"(45.1780566, -123.1240274)"
1333 Third St ,,Philipp,MS,38950,1333 Third St  Philipp MS 38950,"(33.7558581, -90.2054361)"
1798 County Road 4,"Mailing:  P.O. Box 176 ,  Seneca Castle,  NY 14547",Seneca Castle ,NY,14547,1798 County Road 4 Seneca Castle  NY 14547,"(42.8869136, -77.0764578)"
165 Lake Pearl Dr.,P.O. Box 880,Lake Placid ,FL,33852,165 Lake Pearl Dr. Lake Placid  FL 33852,"(27.2868795, -81.3635941)"
HC1 Box 95,PO Box 132,Boise City,OK,73933,HC1 Box 95 Boise City OK 73933,"(36.7294675, -102.5132419)"
P O Box 279,,Bowdle,SD,57428,P O Box 279 Bowdle SD 57428,"(45.4530375, -99.65400679999999)"
1005 Golden Grain Rd,,Rayne,LA,70578,1005 Golden Grain Rd Rayne LA 70578,"(30.1589289, -92.1716008)"
11005 Ness Rd,12052 Ness Rd,Altamont,KS,67330,11005 Ness Rd Altamont KS 67330,"(37.154511, -95.28599670000001)"
970 Hwy 207,594 FM 293,Panhandle,TX,74068,970 Hwy 207 Panhandle TX 74068,"(35.3235315, -101.3808295)"
6515 S Jackrabbit Trail,,Buckeye,AZ,85326,6515 S Jackrabbit Trail Buckeye AZ 85326,"(33.3875274, -112.4772012)"
924 Road 190,P.O. Box 339,Sublette,KS,67877,924 Road 190 Sublette KS 67877,"(37.4756439, -100.9397757)"
3657 Minnie Mack Ln,,Dalhart,TX,79022,3657 Minnie Mack Ln Dalhart TX 79022,"(36.4503746, -102.4320131)"
503 10th Street W,,Palmetto,FL,34221,503 10th Street W Palmetto FL 34221,"(27.5207071, -82.5707525)"
422 Hampton,,Pocahontas,AR,72455,422 Hampton Pocahontas AR 72455,"(36.274099, -91.050027)"
1688 Hwy 1S,,Marianna,AR,72360,1688 Hwy 1S Marianna AR 72360,"(34.7897084, -90.7856179)"
42371 Road 724,,Arapahoe,NE,68922,42371 Road 724 Arapahoe NE 68922,"(40.322403, -99.89981399999999)"
570 La Hacienda Drive,,Colby,KS,67701,570 La Hacienda Drive Colby KS 67701,"(39.4048305, -101.0603699)"
9100 US Highway 91 North,,Dillon,MT,59725,9100 US Highway 91 North Dillon MT 59725,"(45.21663239999999, -112.6389244)"
2318 Greenwood Rd,"1222 Eric Ln, Lake Zurich, IL 60047, Lake County ",Bull Valley,IL,60098,2318 Greenwood Rd Bull Valley IL 60098,"(42.3605919, -88.3939681)"
2925 Beulah Road,"2925 Beulah Road, Juntura OR 97911 (Mailing Address)",Juntura,OR,97911,2925 Beulah Road Juntura OR 97911,"(43.8552281, -118.160587)"
824 Fairview Rd,824 Fairview Rd,Pelion,SC,29123,824 Fairview Rd Pelion SC 29123,"(33.764741, -81.26703599999999)"
525 Pennsylvania Ave.,,Wauchila,FL,33873,525 Pennsylvania Ave. Wauchila FL 33873,"(27.5522076, -81.819853)"
1450 S. Atlantic Avenue,,Yuma,AZ,85365,1450 S. Atlantic Avenue Yuma AZ 85365,"(32.7021399, -114.5905088)"
17614 S. Avenue 1 1/2 E,,Yuma,AZ,85365,17614 S. Avenue 1 1/2 E Yuma AZ 85365,"(32.5728655, -114.6067514)"
1022 Lake June Rd. ,,Lake Placid,FL,33852,1022 Lake June Rd.  Lake Placid FL 33852,"(27.3219504, -81.4154926)"
500 Killebrew St,"Box 158 Lyon, MS 38645",Lyon,MS,38645,500 Killebrew St Lyon MS 38645,"(34.2138577, -90.54118299999999)"
48 92nd Ave SW,,Halliday,ND,58636,48 92nd Ave SW Halliday ND 58636,"(47.3069609, -102.4411922)"
459 HENRY MOXLEY ROAD,,COBBTOWN,GA,30420,459 HENRY MOXLEY ROAD COBBTOWN GA 30420,"(32.2888981, -82.21152630000002)"
3360 FM770,,Kountze,TX,77625,3360 FM770 Kountze TX 77625,"(30.3386985, -94.36909399999999)"
PO Box 2435,1800 E Canal St.,Belle Glade,FL,33430,PO Box 2435 Belle Glade FL 33430,"(26.6845104, -80.6675577)"
3793 Road 9,,Liberal ,KS,67901,3793 Road 9 Liberal  KS 67901,"(37.112777, -101.016786)"
1727 Highway 223,,Union Springs,AL,36089,1727 Highway 223 Union Springs AL 36089,"(32.114721, -85.72649)"
11 E. ORANGE ST.,,AVON PARK,FL,33825,11 E. ORANGE ST. AVON PARK FL 33825,"(27.6076836, -81.50111729999999)"
6973 FM 281,P.O. Box 540,Sunary,TX,79086,6973 FM 281 Sunary TX 79086,"(36.0247506, -101.8280147)"
114 Goodrich Four Corners Rd,,Norwich,VT,5055,114 Goodrich Four Corners Rd Norwich VT 5055,"(43.7294738, -72.2793313)"
806 Barnum Rd,"806 Barnum Rd, Kaycee WY 82639 (Mailing Address)",Kaycee,WY,82639,806 Barnum Rd Kaycee WY 82639,"(43.652116, -106.78008)"
999 Lawrence 612,,Walnut Ridge,AR,72476,999 Lawrence 612 Walnut Ridge AR 72476,"(36.0870171, -90.8562321)"
4719 Crane Rd,,Wolcott,NY,14590,4719 Crane Rd Wolcott NY 14590,"(43.178439, -76.778656)"
130 Persimmon St.,,Marion,AR,72364,130 Persimmon St. Marion AR 72364,"(35.2135953, -90.1824255)"
161 FIFTH AVE SOUTH,SUITE 100,TYWIN FALLS,ID,83301,161 FIFTH AVE SOUTH TYWIN FALLS ID 83301,"(42.552457, -114.4724399)"
2907 Woodthrush Circle,,Jonesboro,AR,72401,2907 Woodthrush Circle Jonesboro AR 72401,"(35.8121203, -90.70331259999999)"
10490 Road 79,,Bayard,NE,69334,10490 Road 79 Bayard NE 69334,"(41.754827, -103.2877426)"
3501 NE Washington St,,arcadia,FL,34266,3501 NE Washington St arcadia FL 34266,"(27.250274, -81.817136)"
170 Jr Suber Rd.,,Norman Park,GA,31771,170 Jr Suber Rd. Norman Park GA 31771,"(31.2415098, -83.630003)"
48 Meadow Way ,,Frostproof ,FL,33843,48 Meadow Way  Frostproof  FL 33843,"(27.7381212, -81.67015169999999)"
116 6th Street South,"P. O. Box  219, Pitts, GA 31072 (mailing address)",Pitts,GA,31072,116 6th Street South Pitts GA 31072,"(31.945212, -83.53870100000002)"
26350 127th Street,,Trail City,ND,57657,26350 127th Street Trail City ND 57657,"(45.563343, -100.838825)"
20520 Spence Road,,Salinas,CA,93908,20520 Spence Road Salinas CA 93908,"(36.6195897, -121.5578278)"
2509 SW West Farm Rd,,Arcadia,FL,34266,2509 SW West Farm Rd Arcadia FL 34266,"(27.0634539, -81.8377136)"
1415 Potato Rd,,Aspers,PA,17304,1415 Potato Rd Aspers PA 17304,"(39.9610723, -77.2875203)"
47901 506th Ave NW,,Kenmare,ND,58746,47901 506th Ave NW Kenmare ND 58746,"(48.7635928, -102.048243)"
1012 W. CENTRAL AVE,,MOULTRIE,GA,31768,1012 W. CENTRAL AVE MOULTRIE GA 31768,"(31.1802307, -83.8003129)"
216 Main Street,P O Box 252 Moreauville LA 71355 (Mailing),Moreauville,LA,71355,216 Main Street Moreauville LA 71355,"(31.0341902, -91.9749648)"
1635 S. Thibodeaux Road,,Jennings,LA,70546,1635 S. Thibodeaux Road Jennings LA 70546,"(30.2405209, -92.6763454)"
5884 fm 232,,CROCKETT,TX,75835,5884 fm 232 CROCKETT TX 75835,"(31.3177591, -95.4571905)"
2692 NE BURNHAM ROAD,,ARCADIA,FL,34266,2692 NE BURNHAM ROAD ARCADIA FL 34266,"(27.170058, -81.8224362)"
P.O. Box 26,401 Second Street,Shelby,MS,38774,P.O. Box 26 Shelby MS 38774,"(33.9509439, -90.76787809999999)"
2692 NE Burnham Road,,Arcadia,FL,34266,2692 NE Burnham Road Arcadia FL 34266,"(27.170058, -81.8224362)"
17490 Highway 26,,Jennings,LA,70546,17490 Highway 26 Jennings LA 70546,"(30.28788939999999, -92.67179469999999)"
2519 Johnson Hwy,,Eunice,LA,70535,2519 Johnson Hwy Eunice LA 70535,"(30.463038, -92.43131)"
P.O. Box 833,"3887 CR 790 Cotton Plant, AR 72036",Brinkley ,AR,72021,P.O. Box 833 Brinkley  AR 72021,"(34.8871967, -91.1945811)"
10400 SD Hwy 75,"17077 104th St Hettinger, ND 58639",Lodgepole,SD,57640,10400 SD Hwy 75 Lodgepole SD 57640,"(45.8047218, -102.6607138)"
5145 64th Ave SW,P.O. Box 341,Glen Ullin,ND,58631,5145 64th Ave SW Glen Ullin ND 58631,"(46.6683408, -101.8037291)"
115 E Wolf St.,P.O. Box 174,Avon Park,FL,33825,115 E Wolf St. Avon Park FL 33825,"(27.604867, -81.4986452)"
641 Feedlot Rd,,Cotulla,TX,78014,641 Feedlot Rd Cotulla TX 78014,"(28.452786, -99.250174)"
89 Grove Road,,Morrison,TN,37357,89 Grove Road Morrison TN 37357,"(35.5792256, -85.84732389999999)"
2036 Hwy 442 E,,Doddsville,MS,38736,2036 Hwy 442 E Doddsville MS 38736,"(33.6577675, -90.51731749999999)"
301 County 29,,Hazen,ND,58545,301 County 29 Hazen ND 58545,"(47.294448, -101.622665)"
440 S RR Ave,,Grace City,ND,58445,440 S RR Ave Grace City ND 58445,"(47.5509569, -98.809637)"
179 Candy Lane,,Rayne,LA,70578,179 Candy Lane Rayne LA 70578,"(30.2764009, -92.300805)"
1409 Elizabeth St,,Scott City,KS,67871,1409 Elizabeth St Scott City KS 67871,"(38.4704279, -100.9108256)"
9626 Belle Place Circle,,Maurice,LA,70555,9626 Belle Place Circle Maurice LA 70555,"(30.0732494, -92.1450629)"
14820 Sable Blvd,,Brighton,CO,80601,14820 Sable Blvd Brighton CO 80601,"(39.9654666, -104.8168028)"
1313 Roberts Cove Road,,Crowley,LA,70526,1313 Roberts Cove Road Crowley LA 70526,"(30.3278047, -92.38502609999999)"
1724 E Whitney Street,,Morse,LA,70559,1724 E Whitney Street Morse LA 70559,"(30.12429819999999, -92.4642973)"
1698 Prudence Hwy,,Church Point,LA,70525,1698 Prudence Hwy Church Point LA 70525,"(30.4579991, -92.24407930000001)"
5210 County Road 2,10435 54th Ave NW Sherwood ND 58782,Sherwood,ND,58782,5210 County Road 2 Sherwood ND 58782,"(48.9654453, -101.8485668)"
2223 Hickory Manor Drive,,Huffman,TX,77336,2223 Hickory Manor Drive Huffman TX 77336,"(30.0160789, -95.08032569999999)"
10051 Main St,,Dunn Center,ND,58626,10051 Main St Dunn Center ND 58626,"(47.41553099999999, -102.6843243)"
1708 North 2250 East,"1708 North 2250 East, Hamer ID 83425 (Mailing Address)",Hamer,ID,83425,1708 North 2250 East Hamer ID 83425,"(43.873706, -112.241741)"
798 SAINT MARGARET ROAD,,CHURCH POINT,LA,70525,798 SAINT MARGARET ROAD CHURCH POINT LA 70525,"(30.436103, -92.2352219)"
711 1st St,,Gueydan,LA,70542,711 1st St Gueydan LA 70542,"(30.0284526, -92.5133723)"
9114 Highway 13,,Kaplan,LA,70548,9114 Highway 13 Kaplan LA 70548,"(30.0220938, -92.31041619999999)"
1303 East Russell Avenue,,Welsh,LA,70591,1303 East Russell Avenue Welsh LA 70591,"(30.231897, -92.79565799999999)"
192 Crabtree Rd.,,Hot Springs,AR,71913,192 Crabtree Rd. Hot Springs AR 71913,"(34.5386507, -93.09696939999999)"
4827 County Road 145,,Greenwood,MS,38930,4827 County Road 145 Greenwood MS 38930,"(33.5163371, -90.2490598)"
374 County Road 536,,Greenway,AR,72430,374 County Road 536 Greenway AR 72430,"(36.3161531, -90.20347679999999)"
1241 West Highway 70,,Plainview,TX,79072,1241 West Highway 70 Plainview TX 79072,"(34.1869121, -101.876029)"
3103 60th Ave NE,,Sheyenne,ND,58374,3103 60th Ave NE Sheyenne ND 58374,"(47.8256526, -99.11770899999999)"
153 smith st,,berlin,GA,31722,153 smith st berlin GA 31722,"(31.0688335, -83.62559370000001)"
50 East 300 South,"PO Box 177, Fountain Green UT 84632 (Mailing Address)",Fountain Green,UT,84632,50 East 300 South Fountain Green UT 84632,"(39.6240933, -111.633991)"
1955 E Plymell Rd,,Garden City,KS,67846,1955 E Plymell Rd Garden City KS 67846,"(37.80967529999999, -100.8353144)"
26905 Highway 71 West,,Spicewood,TX,78669,26905 Highway 71 West Spicewood TX 78669,"(30.4190165, -98.1259942)"
480 East 100 North,"PO Box 6, Teasdale UT 84773 (Mailing Address)",Teasdale,UT,84773,480 East 100 North Teasdale UT 84773,"(38.287545, -111.4747545)"
2526 US Hwy 183,,Cuero,TX,77954,2526 US Hwy 183 Cuero TX 77954,"(29.0938652, -97.28915680000001)"
37812 219th St.,,Wessington Springs,SD,57382,37812 219th St. Wessington Springs SD 57382,"(44.214923, -98.61483199999999)"
4245 Henry Bieber Road,,Eunice,LA,70535,4245 Henry Bieber Road Eunice LA 70535,"(30.4050494, -92.3731674)"
